Customer Key;WWI Customer ID;Customer;Bill To Customer;Category;Buying Group;Primary Contact;Postal Code
1;1;Tailspin Toys (Head Office);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Waldemar Fisar;90410
2;2;Tailspin Toys (Sylvanite, MT);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Lorena Cindric;90216
3;3;Tailspin Toys (Peeples Valley, AZ);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Bhaargav Rambhatla;90205
4;4;Tailspin Toys (Medicine Lodge, KS);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Daniel Roman;90152
5;5;Tailspin Toys (Gasport, NY);Tailspin Toys (Head Office);GiftShop;Tailspin Toys;Johanna Huiting;90261
6;6;Tailspin Toys (Jessie, ND);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Biswajeet Thakur;90298
7;7;Tailspin Toys (Frankewing, TN);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Kalidas Nadar;90761
8;8;Tailspin Toys (Bow Mar, CO);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Kanti Kotadia;90484
9;9;Tailspin Toys (Netcong, NJ);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Sointu Aalto;90129
10;10;Tailspin Toys (Wimbledon, ND);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Siddhartha Parkar;90061
11;11;Tailspin Toys (Devault, PA);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Elnaz Javan;90185
12;12;Tailspin Toys (Biscay, MN);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Heloisa Fernandes;90054
13;13;Tailspin Toys (Stonefort, IL);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Razeena Hosseini;90685
14;14;Tailspin Toys (Long Meadow, MD);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Tereza Valentova;90633
15;15;Tailspin Toys (Batson, TX);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Filips Jaunzems;90631
16;16;Tailspin Toys (Coney Island, MO);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Nitin Matondkar;90467
17;17;Tailspin Toys (East Fultonham, OH);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Adam Kubat;90416
18;18;Tailspin Toys (Goffstown, NH);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Isabelle Vodlan;90321
19;19;Tailspin Toys (Lemeta, AK);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Mithun Bhattacharya;90303
20;20;Tailspin Toys (College Place, WA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Nghi Hua;90050
21;21;Tailspin Toys (Tresckow, PA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Duleep Raju;90790
22;22;Tailspin Toys (Ward Ridge, FL);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Cristina Longo;90784
23;23;Tailspin Toys (Ikatan, AK);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Hang Tang;90019
24;24;Tailspin Toys (Dundarrach, NC);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Intira Mookjai;90758
25;25;Tailspin Toys (Avenal, CA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Sulabha Khalsa;90352
26;26;Tailspin Toys (Hedrick, IA);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Dhanishta Majji;90331
27;27;Tailspin Toys (Bowlus, MN);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Paula Gonzales;90703
28;28;Tailspin Toys (North Ridge, NY);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Tatjana Utjesenovic;90024
29;29;Tailspin Toys (Eulaton, AL);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Karel Hanak;90571
30;30;Tailspin Toys (Koontzville, WA);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Odessa Schneider;90288
31;31;Tailspin Toys (Lake Stevens, WA);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Kimberly Pace;90394
32;32;Tailspin Toys (Maypearl, TX);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Nikolajs Kalejs;90087
33;33;Tailspin Toys (Boyden Arbor, SC);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Haasini Rai;90497
34;34;Tailspin Toys (Dallardsville, TX);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Anjali Asthana;90041
35;35;Tailspin Toys (Slanesville, WV);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Shah Omidi;90601
36;36;Tailspin Toys (Ekron, KY);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Ferhat Celik;90603
37;37;Tailspin Toys (Kerby, OR);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Dayarama Kamei;90686
38;38;Tailspin Toys (Airport Drive, MO);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Nils Kalnins;90211
39;39;Tailspin Toys (Diablock, KY);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Ashish Acharya;90158
40;40;Tailspin Toys (Impact, TX);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Alena Prikrylova;90326
41;41;Tailspin Toys (Olivette, MO);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Lana Rozej;90042
42;42;Tailspin Toys (Arietta, NY);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Chandrakanta Raut;90124
43;43;Tailspin Toys (Upper Preston, WA);Tailspin Toys (Head Office);Kiosk;Tailspin Toys;Ganapati Gadiyaram;90687
44;44;Tailspin Toys (Amanda Park, WA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Adrijana Blagojevic;90258
45;45;Tailspin Toys (Severna Park, MD);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Lap Dinh;90326
46;46;Tailspin Toys (Jemison, AL);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Didem ozCelik;90683
47;47;Tailspin Toys (Lake Hughes, CA);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Serhat Akbulut;90358
48;48;Tailspin Toys (Trentwood, WA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Daniela Barrios;90615
49;49;Tailspin Toys (Muir, MI);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Julia Slobodova;90717
50;50;Tailspin Toys (Hambleton, WV);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Marcela Jankova;90087
51;51;Tailspin Toys (Imlaystown, NJ);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Dipali Sonkar;90051
52;52;Tailspin Toys (Idria, CA);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Bansidhar Mitra;90556
53;53;Tailspin Toys (Nanafalia, AL);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Gunnar Persson;90783
54;54;Tailspin Toys (Railroad, PA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Vitezslav Rehak;90586
55;55;Tailspin Toys (Gum Branch, GA);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Bharat Sikdar;90559
56;56;Tailspin Toys (Royal City, WA);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Juan Bezanson;90398
57;57;Tailspin Toys (Lakemore, OH);Tailspin Toys (Head Office);Kiosk ;Tailspin Toys;Aile Mae;90347
58;58;Tailspin Toys (Mappsburg, VA);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Pratap Varghese;90678
59;59;Tailspin Toys (Edgartown, MA);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Margita Kopecka;90684
60;60;Tailspin Toys (East Dailey, WV);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Lekha Mitra;90548
61;61;Tailspin Toys (Fairfield Glade, TN);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Abhoy PrabhupÄda;90050
62;62;Tailspin Toys (Great Neck Estates, NY);Tailspin Toys (Head Office);Gift Shop;Tailspin Toys;Alida Caune;90240
63;63;Tailspin Toys (Stallion Springs, CA);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Agnes Szolosy;90076
64;64;Tailspin Toys (Hodgdon, ME);Tailspin Toys (Head Office);24H Shop;Tailspin Toys;Rohana Kaskar;90673
65;65;Tailspin Toys (North Cowden, TX);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Hanuman Dubey;90406
66;66;Tailspin Toys (Madaket, MA);Tailspin Toys (Head Office);Gas Station Shop;Tailspin Toys;Bao Dao;90614
67;67;Tailspin Toys (Sentinel Butte, ND);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Preyakshna Aluri;90422
68;68;Tailspin Toys (Gardere, LA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Valentina Conti;90136
69;69;Tailspin Toys (Lytle Creek, CA);Tailspin Toys (Head Office);Novelty Shop;Tailspin Toys;Theodore Saucier;90795
